Evolution,Iteration,Chromosome,Fitness
0,7,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 9.17, 64.5, 94.49]",100517
0,7,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",100513
0,7,"[-0.95, -21.01, -22.22, -47.07, 18.95, 93.26, 0.68, 51.33, 77.79]",100502
0,7,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 9.17, 64.5, 94.49]",92061
0,7,"[-80.9925, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",69895
0,7,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 9.17, 64.5, 94.49]",49511
0,7,"[88.7948, -21.01, -22.22, -70.5877, 18.95, 93.26, 0.68, 51.33, 77.79]",43672
0,7,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 9.17, 64.5, 94.49]",40581
0,7,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",34633
0,7,"[88.7948, -21.01, -22.22, -70.5877, 18.95, 93.26, 0.68, 51.33, 77.79]",28630
0,7,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 9.17, 64.5, 94.49]",26548
0,8,"[-0.95, -21.01, -22.22, -47.07, -94.4569, 56.1614, 0.68, 51.33, 77.79]",100534
0,8,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 9.17, 64.5, 94.49]",100517
0,8,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",100513
0,8,"[-0.95, -21.01, -22.22, -47.07, 18.95, 93.26, 0.68, 51.33, 77.79]",100502
0,8,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 9.17, 64.5, 94.49]",92061
0,8,"[-80.9925, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",69895
0,8,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 47.5819, 64.5, 94.49]",100536
0,8,"[-0.95, -21.01, -22.22, -47.07, 18.95, 93.26, 0.68, 51.33, 77.79]",74467
0,8,"[-0.95, -21.01, -22.22, -47.07, 18.95, 93.26, 0.68, 51.33, 77.79]",53452
0,8,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",49446
